text
"Зеленский обсудил с Макроном возобновление ""нормандского формата"" "
Земляне планируют в ближайшие недели выпустить новый альбом 
ЕС готовит ответ на возможные российские санкции 
В Пентагоне сообщили о готовности войск к переброске в Европу 
Президент Грузии назвала причину нежелания помиловать Саакашвили 
"Мария Аронова получила ""Золотого орла"" за лучшую женскую роль в кино "
"МИД объяснил расширение списка лиц из ЕС, которым запрещен въезд в Россию "
"Голикова отметила снижение смертности на 23,7% в январе "
Правила детокса: эффективные методы очищения организма и советы врачей 
"Украина открыта к вступлению в союзы по безопасности, сообщил Зеленский "
ЦБ ознакомился с дорожной картой регулирования оборота криптовалют 
"СМИ: США не рассматривают санкции против России, затрагивающие экспорт газа "
"Тело женщины, утонувшей во время крещенских купаний, опознали "
РПЦ призвала Александрийского патриарха отказаться от решения по Украине 
"Минтруд сообщил, что единый тариф увеличит пособие по нетрудоспособности "
Минтруд назвал максимальную сумму пособия по беременности при едином тарифе 
Минтруд предложил перечислять страховые выплаты единым платежом 
Минтруд предложил внедрить единый тариф по страховым взносам 
"В Европе заговорили о неизбежной ""зависимости от России"" "
Столтенберг выступил за возобновление дипломатических контактов с Россией 
Источник рассказал о возможном ответе России на притеснение RT в Германии 
В Ташкентском зоопарке женщина сбросила девочку в вольер к медведю 
При жесткой посадке Ми-8 под Ульяновском погиб один человек 
Толстой выдвинул главе ПАСЕ условие сотрудничества России с организацией 
Грачевская ответила на обвинения в анорексии честным видео в купальнике 
В Тверской области построят поле для мини-футбола 
Жительнице Калуги грозит срок за полуобнаженные фото на фоне храма 
Украинские военные впервые провели учебные стрельбы из британских ПТРК 
"НАТО не планирует размещать на Украине боевые группы, заявил Столтенберг "
ЦБ обяжет банки раскрывать условия вкладов в наглядной форме 
"НАТО не знает о намерениях России по Украине, заявил Столтенберг "
"США делают все, чтобы столкнуть Россию и Украину, заявил Володин "
Путин и Макрон обменялись мнениями о мерах по борьбе с пандемией 
Вакцинные туры в Турцию появились еще у двух операторов 
ГД получила более 30 тысяч предложений по решению проблемы бродячих собак 
В Питтсбурге мост рухнул на газопровод незадолго до приезда Байдена 
Справедливая Россия – За правду призвала к объединению всех левых сил 
Вакцинацию от COVID-19 первым компонентом провели более 83 миллионов раз 
Новый российский лоукостер выполнил демополет на Airbus А319 
В Госдуме пообещали поддержать дорожную карту по регулированию криптовалют 
"Президент Польши признал, что для его страны не существует военной угрозы "
"Куклачев рассказал, почему рад тому, что остался жить в России "
Япония не получала от России предложений по передаче останков Зорге 
"Посол США назвал условие введения санкций против ""Северного потока — 2"" "
Земмур потребовал от Меланшона не разговаривать с ним как с собакой 
"Оппозиция ответит за призывы к западным санкциям, заявил Лукашенко "
Медведчук раскритиковал Зеленского за отсутствие политической воли 
На Урале один человек погиб при взрыве снаряда на предприятии 
Путин подписал закон о проезде военнослужащих на лечение и отдых 
Госдума примет закон о запрете показа ЛГБТ-сцен в кино в июле или осенью 
Путин на совещании с членами СБ предложил обсудить внешнюю политику 
МИД подготовил проект новой концепции внешней политики России 
Самолет сел в Екатеринбурге после срабатывания датчика разгерметизации 
Песков ответил на вопрос о реверсе газа из Германии в Польшу и на Украину 
"Лукашенко заявил, что не будет воевать на территории Украины "
"Россия выполняет все обязательства по поставкам газа, заявили в Германии "
В Кремле рассказали о повестке встречи Путина и Си Цзиньпина в Пекине 
Более 50 тысяч семей в Подмосковье получат в этом году повышенные пособия 
Центру Гамалеи выделили средства на исследования вакцины для детей 
"В администрации Кремля тоже есть антипрививочники, заявил Песков "
Онлайн-конференция руководства московского Россельхознадзора 
"Путин подписал закон об индексации пенсий на 8,6% "
Лавров прокомментировал ситуацию с арестованными в Белоруссии россиянами 
"В Британии нашли ""убийцу городов"" среди российского оружия "
Токаев назвал январские беспорядки в Казахстане спланированной атакой 
Роман свадьбой не завершился: Корчевников пожаловался на личную жизнь 
В Тверской области запустят программу по поддержке студенческих инициатив 
"Россия ответит, если притеснение RT в Германии продолжится, заявил Лавров "
"Россия сможет заработать на освоении Арктики, заявил Медведев "
"Россия сама будет принимать решения по Севморпути, заявил Медведев "
Чупакабра и призрак девушки с факелом. Жуткие легенды Нижнего Новгорода 
"Более 20 танкеров с газом направились из США в Европу, пишут СМИ "
"Россия не изменит свою позицию по гарантиям безопасности, заявил Лавров "
СК назвал причину гибели пациентов в петербургской клинике 
Лавров обвинил ЕСПЧ в политизации решений 
"Пушков объяснил, зачем США раздувают истерию о вторжении России на Украину "
"Газпром поставил в Турцию рекордный объем газа по ""Голубому потоку"" "
"Польша пытается быть лидером, противостоя России, заявил Лукашенко "
Лукашенко назвал причину эскалации ситуации в мире 
Лавров назвал ответ НАТО по гарантиям безопасности идеологизированным  
Названы самые бюджетные направления для пляжного отдыха в феврале 
"Киев может перебросить в Донбасс самые боеготовные бригады, заявили в ДНР "
Защита устроившего дебош в Воронеже американца обжаловала его арест 
Россия и Куба планируют новые контакты в военно-технической сфере 
В СЖР отреагировали на инцидент с журналисткой ВГТРК 
В Уфе две сотрудницы завода умерли от ожогов после пожара 
Медведев назвал события в Казахстане попыткой провести цветную революцию 
Липецкие власти построят семь спортплощадок за 150 миллионов рублей 
"В Самарской области сократили до 1,5 минуты ожидание на линии по COVID-19 "
В ЕАО женщина и ребенок погибли при пожаре в жилом доме 
Киргизия эвакуировала из зоны конфликта более 11 тысяч человек 
Омикрон-штамм пока официально не выявили в десяти российских регионах 
Российский посол рассказал о сотрудничестве с Венесуэлой в сфере ВТС   
