text
СМИ сообщили об освобождении восьми человек из-под лавины в Австрии
Медведев предрек Западу смену энергетического уклада
Медведев назвал 2022 год драматичным
Медведев задался вопросом о готовности Запада к развязыванию ядерной войны
Медведев: Россия приложит все усилия для достижения целей спецоперации
Медведев не видит необходимости в новых договорах по разоружению
"Спецоперация, 25 декабря: Россия не подходит к опасной черте из-за Украины "
"Жертвами снежного шторма в США стали не менее 26 человек, пишут СМИ "
"Число погибших в катастрофе корвета ВМС Таиланда ""Сукхотхаи"" выросло до 18 "
"Запад не пытался быть посредником в кризисе на Украине, заявил Эрдоган "
ММДМ эвакуировали из-за сообщения о минировании
"Корвет ""Меркурий"" во время госиспытаний поразил мишень в Балтийском море "
На Украине планируют дважды за год поднять тарифы на воду
Жителям Нью-Йорка рекомендовали экономить электричество и газ из-за холодов
СМИ: Зеленский в рождественском обращении намекнул на мрачную судьбу Киева
В шестом районе Кабула прогремел взрыв
Раненный в Донецке Рогозин сообщил о пострадавших сотрудниках гостиницы
В Кременчуге улицу Молодогвардейцев переименовали в честь Шухевича
Синоптик рассказал о погоде в Москве в последние дни 2022 года
"ОАЭ предоставят Украине 2,5 тысячи домашних электрогенераторов "
"Стрелявший в Париже признался, что сначала планировал ""убивать иностранцев"" "
В Иране резко ответили на призывы Киева ударить по оружейным заводам страны
"Кишинев взял курс на опасную конфронтацию с Тирасполем, считает эксперт "
Подполковник ВСУ пожаловался на массовое дезертирство своих военных
В Госдуме предложили рассматривать игорный бизнес как часть туриндустрии
Первый самолет прилетел в Великий Устюг после реконструкции аэропорта
В нескольких областях Украины объявили воздушную тревогу
Папа римский заявил в рождественском послании о нехватке мира
Алиева и Пашиняна ожидают на неформальном саммите СНГ в Петербурге
"Турция обсуждает использование неба Сирии с Россией, заявили в Анкаре "
Правительство одобрило проект оптимизации выплат Героям СССР и России
Российские силы уничтожили три американские гаубицы М777
Российские войска отразили атаки противника на Южно-Донецком направлении
Российские войска на Донецком направлении уничтожили более 80 военных ВСУ
Украинские войска снова обстреляли Донецк и Макеевку
В Кремле назвали обеспокоенность Германии визитом Путина в Минск абсурдной
"С Рождеством, халявщик! Британцы ответили на праздничную речь Зеленского "
"Цель России — в объединении русского народа, заявил Путин "
"В офисе Зеленского заявили о планах ""вернуть"" Крым в 2023 году "
Украинские войска обстреляли Киевский район Донецка
"И кто же она у тебя? — Ведьма!. Главные цитаты из ""Чародеев"" "
Король Испании Филипп VI назвал причиной энергокризиса конфликт на Украине
"В ЛДПР оценили идею дополнительных налогов тем, кто работает не в России "
"Исследователи выяснили, как в Армении относятся к притоку в страну россиян "
В России за сутки госпитализировали 624 человека с COVID-19
"Украинские войска за сутки потеряли более 30 человек, заявили в ДНР "
Ночные волки проведут экскурсию по байк-центру для детей из Донбасса
На Украине объявили воздушную тревогу
"Санкции против России выгодны только США, заявил Силуанов "
"Все обязательства бюджета России будут выполнены, заявил Силуанов "
Первый русский епископ-католик: Рождество всегда лучше праздновать дважды
Синоптик рассказал о погоде в Москве в воскресенье
"Епископ рассказал, как католики отмечали Рождество в СССР "
Ефимов: более 160 компаний-экспортеров присоединились к байерской программе
Володин призвал отменить преференции для покинувших Россию
В Севастополе встретили поезд с семимиллионным пассажиром в Крым
"Канал ""Россия 1"" седьмой раз подряд лидирует по итогам года. Кто за ним? "
Повсюду агенты Москвы. Раскол в православии вышел на новый уровень
Загадочные пульсации. Что обнаружила на Марсе миссия InSight
В МИД КНР заявили о серьезных трудностях в отношениях с США
"Названы знаки зодиака, представителям которых отношения в тягость "
Во Франции поразились обилию предметов роскоши в российских магазинах
Украинские войска нанесли удар по Михайловке из HIMARS
В Приморье пять сёл остались без света после снегопада
Американский телеведущий назвал главную ложь 2022 года о России
"Диетолог раскрыла, каких витаминов россиянам не хватает зимой "
Католическое Рождество
В Башкирии из-за пожара в жилом доме погибли два человека
В Кишиневе заявили об упадке в диалоге с Приднестровьем
"СК расследует украинские обстрелы Курской области, ДНР и ЛНР "
"Зимний шторм привел к рекордному снижению добычи газа в США, пишут СМИ "
В Киеве составили список военных для обучения управлению ЗРК Patriot
Принц Гарри и Меган Маркл отреагировали на извинения газеты Sun
"В Полтаве вандалы осквернили памятники Ватутину и Зыгину, сообщили СМИ "
Украинские войска обстреляли из РСЗО еще две больницы в Донецке
Умер солист британской группы Faithless Макси Джаз
Премьер Белоруссии пожелал западным лидерам выйти из состояния конфронтации
Украинские войска обстреляли Ясиноватую и Пантелеймоновку из артиллерии
"Умер гендиректор ""Адмиралтейских верфей"" Александр Бузаков "
В Раде заявили о диверсификации энергосистемы Украины
"В США погибли около 15 человек из-за зимнего шторма, сообщили СМИ "
В США на заснеженном шоссе столкнулись около 50 автомобилей
Помощником Сунака по политическим вопросам стал журналист издания Spectator
В МЧС назвали возможную причину пожара в кемеровском приюте
Власти Энергодара сообщили об улучшении криминогенной ситуации
В Белоруссии сообщили о рекордном объеме экспорта в Россию в этом году
На востоке Украины объявили воздушную тревогу
"Германия рискует стать государством-банкротом, заявили в бундестаге "
Более трех тысяч жителей Белоруссии подали заявки на полет в космос
Помощник Рогозина рассказал подробности его ранения
"Киев готовит военные провокации на границе с Белоруссией, заявил Кива "
Российские войска поразили пункт управления ВСУ в Запорожской области
В Минобороны рассказали о потерях ВСУ на Краснолиманском направлении
ВС России уничтожили до 50 украинских военных на Купянском направлении
Белоруссии предложили войти в проект Российской орбитальной станции
Украинские войска выпустили еще три натовских снаряда по Донецку
Синоптик рассказал о погоде в Москве в новогоднюю ночь
В нескольких областях Украины вновь объявили воздушную тревогу
